날짜,지역명,가격지수
2012-01-01,강남구,59.223984
2012-02-01,강남구,59.036034
2012-03-01,강남구,58.754798
2012-04-01,강남구,58.317729
2012-05-01,강남구,58.291913
2012-06-01,강남구,58.140448
2012-07-01,강남구,57.64373
2012-08-01,강남구,57.130848
2012-09-01,강남구,56.529394
2012-10-01,강남구,56.334547
2012-11-01,강남구,56.043432
2012-12-01,강남구,55.70615
2013-01-01,강남구,55.539231
2013-02-01,강남구,55.44449
2013-03-01,강남구,55.509901
2013-04-01,강남구,55.47913
2013-05-01,강남구,55.585253
2013-06-01,강남구,55.426546
2013-07-01,강남구,55.044561
2013-08-01,강남구,54.848755
2013-09-01,강남구,54.970305
2013-10-01,강남구,54.997591
2013-11-01,강남구,54.977104
2013-12-01,강남구,55.017321
2014-01-01,강남구,55.115192
2014-02-01,강남구,55.27312
2014-03-01,강남구,55.516474
2014-04-01,강남구,55.50505
2014-05-01,강남구,55.476062
2014-06-01,강남구,55.430328
2014-07-01,강남구,55.460406
2014-08-01,강남구,55.626615
2014-09-01,강남구,56.129503
2014-10-01,강남구,56.334253
2014-11-01,강남구,56.337123
2014-12-01,강남구,56.292859
2015-01-01,강남구,56.406633
2015-02-01,강남구,56.534554
2015-03-01,강남구,56.915139
2015-04-01,강남구,57.172312
2015-05-01,강남구,57.457457
2015-06-01,강남구,57.937569
2015-07-01,강남구,58.264108
2015-08-01,강남구,58.788944
2015-09-01,강남구,59.148723
2015-10-01,강남구,59.521914
2015-11-01,강남구,60.008642
2015-12-01,강남구,60.131904
2016-01-01,강남구,60.082246
2016-02-01,강남구,60.087625
2016-03-01,강남구,60.087658
2016-04-01,강남구,60.191216
2016-05-01,강남구,60.523671
2016-06-01,강남구,60.959951
2016-07-01,강남구,61.505575
2016-08-01,강남구,62.011738
2016-09-01,강남구,62.430519
2016-10-01,강남구,63.055663
2016-11-01,강남구,63.40533
2016-12-01,강남구,63.315421
2017-01-01,강남구,63.219149
2017-02-01,강남구,63.200584
2017-03-01,강남구,63.335833
2017-04-01,강남구,63.491255
2017-05-01,강남구,63.703392
2017-06-01,강남구,64.424034
2017-07-01,강남구,64.905902
2017-08-01,강남구,65.536026
2017-09-01,강남구,65.510728
2017-10-01,강남구,65.864904
2017-11-01,강남구,66.564736
2017-12-01,강남구,67.392545
2018-01-01,강남구,69.049924
2018-02-01,강남구,70.492324
2018-03-01,강남구,72.029589
2018-04-01,강남구,72.951977
2018-05-01,강남구,73.366278
2018-06-01,강남구,73.567649
2018-07-01,강남구,73.728145
2018-08-01,강남구,74.689644
2018-09-01,강남구,77.002566
2018-10-01,강남구,77.57263
2018-11-01,강남구,77.649963
2018-12-01,강남구,77.538096
2019-01-01,강남구,77.400236
2019-02-01,강남구,77.046118
2019-03-01,강남구,76.517258
2019-04-01,강남구,76.218443
2019-05-01,강남구,76.121072
2019-06-01,강남구,75.993397
2019-07-01,강남구,76.482109
2019-08-01,강남구,76.855798
2019-09-01,강남구,77.400317
2019-10-01,강남구,78.331685
2019-11-01,강남구,79.045414
2019-12-01,강남구,80.960502
2020-01-01,강남구,81.605938
2020-02-01,강남구,81.843787
2020-03-01,강남구,82.002849
2020-04-01,강남구,81.826479
2020-05-01,강남구,81.535182
2020-06-01,강남구,81.775477
2020-07-01,강남구,83.371632
2020-08-01,강남구,84.601302
2020-09-01,강남구,85.969463
2020-10-01,강남구,86.792815
2020-11-01,강남구,87.368456
2020-12-01,강남구,88.56294
2021-01-01,강남구,89.378631
2021-02-01,강남구,90.378956
2021-03-01,강남구,91.139925
2021-04-01,강남구,91.650496
2021-05-01,강남구,92.488676
2021-06-01,강남구,93.421154
2021-07-01,강남구,94.223688
2021-08-01,강남구,95.283593
2021-09-01,강남구,96.429728
2021-10-01,강남구,97.41216
2021-11-01,강남구,98.859544
2021-12-01,강남구,99.504297
2022-01-01,강남구,100.0
2022-02-01,강남구,100.15943658
2022-03-01,강남구,100.39083669
2022-04-01,강남구,100.6751994753
2022-05-01,강남구,100.8952201282
2022-06-01,강남구,101.2550064628
2022-07-01,강남구,101.6727011724
2022-08-01,강남구,101.6487524774
2022-09-01,강남구,101.5746437487
2022-10-01,강남구,101.0367236203
2022-11-01,강남구,100.0356134466
2022-12-01,강남구,99.1998406111
